PROD#,Prop
53059,Y
53193,Y
53206,Y
53116,Y
53060,Y
53139,Y
53141,Y
53142,Y
53077,Y
53228,Y
53131,Y
53143,Y
53068,Y
53208,Y
53097,Y
53103,Y
53218,Y
53099,Y
53044,Y
53194,Y
53190,Y
53115,Y
53054,Y
53191,Y
53215,Y
53085,Y
53239,Y
53197,Y
53105,Y
53088,Y
53109,Y
53172,Y
53146,Y
53236,Y
53237,Y
53748,Y
53147,Y
53173,Y
53118,Y
53145,Y
53174,Y
53209,Y
53083,Y
53212,Y
53207,Y
53133,Y
53127,Y
53074,Y
53223,Y
53112,Y
53134,Y
53235,Y
53201,Y
53202,Y
53098,Y
53175,Y
53186,Y
53192,Y
53200,Y
53195,Y
53196,Y
53022,Y
53128,Y
53132,Y
53169,Y
53061,Y
53233,Y
53183,Y
53066,Y
53046,Y
53181,Y
53079,Y
53149,Y
53221,Y
53125,Y
53168,Y
53072,Y
53157,Y
53158,Y
53160,Y
53106,Y
53107,Y
53216,Y
53180,Y
53089,Y
53136,Y
53162,Y
53159,Y
53184,Y
53092,Y
53167,Y
53082,Y
53078,Y
53170,Y
53217,Y
53205,Y
53227,Y
53229,Y
3598,Y
2470,Y
8100,Y
8101,Y
8102,Y
8202,Y
66091,Y
81498,Y
27071,Y
8103,Y
66089,Y
66090,Y
909,Y
66900,Y
1504,Y
8106,Y
3720,Y
3717,Y
39101,Y
76,Y
66501,Y
2191,Y
3738,Y
66737,Y
9165,Y
55602,Y
55601,Y
55600,Y
55599,Y
