,PROD#,2023-09-02,2023-09-03,2023-09-04,2023-09-05,2023-09-06,2023-09-07,2023-09-08,2023-09-09,2023-09-10,2023-09-11,2023-09-12,2023-09-13,2023-09-14,2023-09-15
709,4213,33.0,0.0,0.0,39.0,47.0,25.0,62.0,38.0,0.0,65.0,26.0,46.0,50.0,79.0
710,4320,0.0,1.0,0.0,5.0,5.0,1.0,5.0,0.0,0.0,3.0,1.0,4.0,5.0,3.0
711,4325,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
712,4398,20.0,3.0,0.0,8.0,5.0,9.0,9.0,10.0,0.0,8.0,2.0,7.0,8.0,6.0
713,4465,7.0,3.0,0.0,6.0,6.0,13.0,11.0,3.0,4.0,4.0,9.0,5.0,12.0,14.0
714,4552,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
715,4607,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
716,4610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
717,4611,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,1.0
718,4612,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
719,4614,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0
720,4615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
721,4617,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0
722,4622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
723,4623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
724,4624,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
725,4630,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
726,4661,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,4.0,2.0,0.0,0.0
727,5000,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
728,5001,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0
729,5003,2.0,0.0,0.0,1.0,5.0,7.0,5.0,2.0,0.0,4.0,6.0,3.0,1.0,2.0
730,5004,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0
731,5008,0.0,0.0,0.0,0.0,2.0,22.0,9.0,0.0,0.0,3.0,0.0,4.0,1.0,27.0
732,5010,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
733,5011,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
734,5013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
735,5020,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
736,5033,0.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,7.0,0.0,6.0,0.0
737,5035,47.0,0.0,0.0,47.0,70.0,28.0,77.0,29.0,0.0,53.0,42.0,43.0,26.0,70.0
738,5060,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
739,5065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
740,5078,2.0,0.0,0.0,1.0,4.0,0.0,6.0,2.0,0.0,4.0,0.0,1.0,0.0,8.0
741,5105,2.0,0.0,0.0,1.0,4.0,0.0,3.0,2.0,0.0,1.0,2.0,7.0,0.0,2.0
742,5106,3.0,0.0,0.0,0.0,16.0,6.0,10.0,3.0,0.0,7.0,1.0,5.0,2.0,5.0
743,5116,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0
744,5120,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
745,5137,1.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,1.0,1.0,3.0
746,5140,28.0,0.0,2.0,38.0,37.0,45.0,46.0,109.0,0.0,39.0,20.0,44.0,31.0,31.0
747,5143,8.0,0.0,0.0,13.0,29.0,16.0,22.0,0.0,0.0,27.0,10.0,21.0,10.0,40.0
748,5157,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
749,5176,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
750,5199,18.0,25.0,0.0,30.0,45.0,15.0,39.0,16.0,1.0,76.0,22.0,20.0,33.0,41.0
751,5200,8.0,0.0,0.0,11.0,6.0,0.0,18.0,5.0,0.0,4.0,6.0,15.0,16.0,14.0
752,5223,2.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0
753,5227,0.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
754,5229,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,3.0,5.0,0.0,0.0,3.0
755,5288,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
756,5290,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0
757,5300,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
758,5308,1.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,6.0,0.0,2.0
759,5350,4.0,0.0,0.0,0.0,13.0,5.0,4.0,6.0,0.0,7.0,7.0,8.0,3.0,4.0
760,5520,4.0,0.0,0.0,5.0,6.0,8.0,12.0,9.0,0.0,12.0,21.0,7.0,4.0,12.0
761,5559,4.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0
762,6061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,15.0,1.0
763,6067,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,6.0,3.0,4.0,10.0
764,6076,7.0,0.0,0.0,26.0,1.0,6.0,2.0,3.0,0.0,3.0,0.0,1.0,6.0,2.0
765,6111,8.0,0.0,1.0,14.0,33.0,7.0,13.0,9.0,0.0,21.0,5.0,18.0,8.0,25.0
766,6121,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,3.0
767,6286,4.0,0.0,0.0,4.0,1.0,5.0,4.0,0.0,0.0,2.0,1.0,7.0,1.0,7.0
768,6301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
769,6302,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0
770,6305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
771,6313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
772,6315,4.0,1.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0
773,6333,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0
774,6335,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
775,6363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
776,6364,0.0,0.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0
777,6367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
778,6370,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
779,6378,0.0,12.0,0.0,6.0,0.0,0.0,26.0,1.0,0.0,4.0,9.0,0.0,10.0,0.0
780,6379,4.0,1.0,0.0,2.0,4.0,0.0,5.0,3.0,0.0,4.0,1.0,1.0,0.0,4.0
781,6380,3.0,2.0,0.0,6.0,27.0,0.0,5.0,4.0,0.0,4.0,3.0,2.0,1.0,5.0
782,6381,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
783,6384,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
784,6415,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0
785,6429,7.0,0.0,0.0,16.0,20.0,11.0,18.0,6.0,0.0,9.0,5.0,10.0,3.0,13.0
786,6610,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
787,6611,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
788,6649,4.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,3.0
789,6711,1.0,0.0,0.0,3.0,6.0,1.0,30.0,0.0,0.0,3.0,1.0,7.0,6.0,9.0
790,7035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
791,7071,90.0,17.0,0.0,105.0,102.0,67.0,110.0,90.0,2.0,129.0,56.0,124.0,79.0,125.0
792,7125,11.0,0.0,0.0,2.0,18.0,5.0,14.0,5.0,0.0,12.0,8.0,13.0,3.0,19.0
793,7160,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
794,7175,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
795,7357,11.0,0.0,0.0,14.0,7.0,4.0,11.0,7.0,0.0,7.0,7.0,6.0,10.0,7.0
796,7361,3.0,0.0,0.0,10.0,20.0,3.0,24.0,2.0,0.0,16.0,11.0,16.0,6.0,30.0
797,7369,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
798,7711,0.0,1.0,0.0,12.0,11.0,0.0,43.0,0.0,0.0,40.0,3.0,2.0,0.0,7.0
799,8008,1.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,7.0,0.0,2.0,0.0,0.0
800,8019,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
801,8025,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
802,8031,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
803,8043,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0
804,8047,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
805,8049,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
806,8059,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0
807,8068,40.0,7.0,0.0,41.0,41.0,12.0,18.0,38.0,4.0,45.0,15.0,23.0,14.0,41.0
808,8075,1.0,2.0,0.0,13.0,16.0,2.0,13.0,2.0,0.0,18.0,3.0,1.0,1.0,14.0
809,8077,5.0,3.0,0.0,6.0,8.0,5.0,10.0,4.0,1.0,4.0,1.0,4.0,5.0,9.0
810,8078,1.0,0.0,1.0,2.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
811,8089,0.0,0.0,0.0,2.0,3.0,3.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0
812,8110,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0
813,8112,0.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,5.0,0.0,7.0,5.0,5.0
814,8117,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
815,8130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
816,8159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0
817,8161,7.0,0.0,0.0,12.0,8.0,9.0,12.0,7.0,0.0,12.0,6.0,8.0,7.0,7.0
818,8163,41.0,10.0,0.0,33.0,24.0,36.0,41.0,31.0,1.0,25.0,13.0,32.0,31.0,35.0
819,8168,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
820,8177,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
821,8188,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822,8190,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
823,8198,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
824,8216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
825,8230,1.0,0.0,0.0,1.0,4.0,1.0,3.0,0.0,0.0,3.0,1.0,4.0,4.0,1.0
826,8260,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0
827,8321,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
828,8322,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
829,8396,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,3.0,0.0,4.0,0.0,0.0
830,8400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
831,8441,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,4.0,0.0,0.0,1.0,9.0
832,8532,10.0,0.0,0.0,81.0,26.0,8.0,61.0,9.0,3.0,77.0,15.0,82.0,12.0,79.0
833,8750,1.0,0.0,0.0,11.0,22.0,1.0,4.0,0.0,0.0,31.0,27.0,12.0,3.0,6.0
834,8838,1.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,2.0,3.0,1.0,1.0,0.0
835,8866,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,4.0,0.0,11.0,1.0,1.0
836,9000,6.0,0.0,0.0,7.0,15.0,15.0,20.0,3.0,0.0,10.0,8.0,9.0,22.0,16.0
837,9001,0.0,0.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0,0.0,1.0,0.0,4.0,9.0
838,9003,0.0,0.0,1.0,2.0,9.0,6.0,1.0,3.0,0.0,17.0,1.0,10.0,0.0,6.0
839,9004,3.0,1.0,0.0,9.0,3.0,4.0,6.0,2.0,0.0,4.0,1.0,3.0,5.0,3.0
840,9008,0.0,0.0,0.0,3.0,0.0,2.0,4.0,2.0,0.0,2.0,0.0,6.0,0.0,2.0
