,PROD#,2023-09-02,2023-09-03,2023-09-04,2023-09-05,2023-09-06,2023-09-07,2023-09-08,2023-09-09,2023-09-10,2023-09-11,2023-09-12,2023-09-13,2023-09-14,2023-09-15
1123,23308,0.0,0.0,0.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
1124,23318,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1125,23320,1.0,1.0,0.0,1.0,5.0,5.0,4.0,1.0,0.0,1.0,2.0,3.0,3.0,2.0
1126,23326,0.0,0.0,0.0,4.0,3.0,3.0,1.0,0.0,0.0,6.0,2.0,0.0,1.0,4.0
1127,23328,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0
1128,23343,10.0,1.0,0.0,17.0,19.0,20.0,22.0,6.0,1.0,22.0,17.0,16.0,18.0,18.0
1129,24003,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1130,24610,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0
1131,26061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1132,26666,1.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,3.0,2.0,2.0,0.0,3.0
1133,27071,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0
1134,29014,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1135,29049,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1136,29122,0.0,0.0,0.0,2.0,1.0,4.0,5.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0
1137,29240,1.0,0.0,0.0,2.0,1.0,0.0,5.0,4.0,0.0,2.0,2.0,2.0,0.0,3.0
1138,29335,3.0,0.0,0.0,0.0,2.0,3.0,4.0,2.0,0.0,2.0,1.0,3.0,1.0,0.0
1139,29339,9.0,0.0,0.0,27.0,26.0,11.0,22.0,14.0,1.0,36.0,10.0,16.0,8.0,29.0
1140,29416,5.0,0.0,0.0,6.0,3.0,4.0,5.0,5.0,0.0,7.0,2.0,2.0,2.0,2.0
1141,30723,5.0,0.0,1.0,23.0,10.0,22.0,15.0,2.0,0.0,23.0,21.0,10.0,23.0,19.0
1142,30725,16.0,6.0,0.0,51.0,35.0,35.0,36.0,6.0,0.0,41.0,45.0,24.0,30.0,37.0
1143,31045,5.0,1.0,0.0,8.0,8.0,7.0,9.0,3.0,0.0,8.0,11.0,10.0,5.0,6.0
1144,31073,2.0,1.0,0.0,2.0,5.0,0.0,7.0,1.0,0.0,1.0,3.0,4.0,2.0,4.0
1145,31081,10.0,0.0,0.0,18.0,13.0,13.0,17.0,11.0,0.0,7.0,8.0,15.0,4.0,14.0
1146,31095,12.0,3.0,1.0,37.0,25.0,25.0,32.0,9.0,1.0,19.0,32.0,23.0,24.0,28.0
1147,31196,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0
1148,31214,4.0,0.0,0.0,6.0,3.0,2.0,4.0,3.0,0.0,3.0,2.0,4.0,3.0,2.0
1149,31230,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
1150,31292,5.0,1.0,0.0,1.0,5.0,2.0,2.0,1.0,0.0,2.0,1.0,4.0,2.0,4.0
1151,31330,3.0,0.0,0.0,16.0,9.0,5.0,10.0,2.0,0.0,6.0,9.0,10.0,7.0,7.0
1152,31335,6.0,1.0,0.0,36.0,20.0,28.0,21.0,7.0,0.0,25.0,28.0,19.0,30.0,23.0
1153,31355,7.0,0.0,0.0,3.0,1.0,2.0,2.0,7.0,0.0,2.0,3.0,3.0,2.0,2.0
1154,31406,0.0,1.0,0.0,6.0,7.0,7.0,4.0,1.0,0.0,4.0,6.0,4.0,3.0,3.0
1155,31410,1.0,0.0,0.0,2.0,9.0,5.0,3.0,2.0,0.0,7.0,4.0,5.0,2.0,3.0
1156,31415,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1157,31441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1158,31445,8.0,0.0,0.0,23.0,19.0,17.0,17.0,6.0,0.0,15.0,13.0,19.0,28.0,16.0
1159,31451,12.0,1.0,0.0,26.0,26.0,22.0,21.0,10.0,0.0,13.0,22.0,25.0,32.0,18.0
1160,31458,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1161,31602,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1162,31845,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1163,32003,73.0,9.0,0.0,94.0,98.0,72.0,92.0,66.0,4.0,100.0,69.0,81.0,61.0,85.0
1164,32020,33.0,4.0,0.0,57.0,69.0,44.0,78.0,24.0,1.0,67.0,50.0,75.0,47.0,84.0
1165,32025,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
1166,32030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1167,32041,1.0,0.0,0.0,14.0,2.0,6.0,5.0,1.0,1.0,8.0,4.0,9.0,5.0,4.0
1168,32103,7.0,0.0,0.0,8.0,6.0,1.0,8.0,8.0,0.0,9.0,1.0,8.0,2.0,9.0
1169,33071,1.0,0.0,1.0,9.0,5.0,1.0,3.0,1.0,1.0,6.0,11.0,4.0,1.0,5.0
1170,33072,11.0,3.0,0.0,35.0,41.0,34.0,27.0,7.0,0.0,47.0,25.0,32.0,26.0,37.0
1171,33090,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1172,33092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1173,33140,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1174,33150,4.0,1.0,0.0,5.0,3.0,2.0,2.0,2.0,0.0,3.0,2.0,3.0,2.0,2.0
1175,33202,8.0,0.0,0.0,15.0,12.0,19.0,14.0,6.0,0.0,8.0,16.0,3.0,20.0,7.0
1176,33225,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1177,39145,5.0,0.0,0.0,8.0,4.0,2.0,1.0,6.0,0.0,7.0,3.0,6.0,2.0,6.0
1178,39264,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1179,39450,0.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,0.0,2.0,3.0,2.0,1.0,1.0
1180,39698,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1181,39701,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1182,39857,1.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0
1183,39999,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1184,40025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1185,41205,7.0,0.0,0.0,6.0,6.0,6.0,7.0,3.0,0.0,4.0,4.0,8.0,3.0,6.0
1186,41206,3.0,2.0,0.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,4.0,4.0
1187,41207,1.0,0.0,1.0,5.0,2.0,1.0,4.0,0.0,0.0,4.0,2.0,2.0,1.0,1.0
1188,41216,0.0,0.0,0.0,5.0,12.0,4.0,8.0,1.0,0.0,12.0,1.0,5.0,1.0,3.0
1189,41270,0.0,1.0,0.0,1.0,3.0,1.0,3.0,2.0,0.0,1.0,1.0,3.0,3.0,3.0
1190,41359,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1191,41360,0.0,0.0,0.0,2.0,3.0,3.0,1.0,0.0,0.0,2.0,2.0,2.0,3.0,3.0
1192,41369,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1193,41440,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1194,41442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
1195,41445,3.0,0.0,0.0,9.0,6.0,5.0,12.0,5.0,0.0,9.0,6.0,9.0,8.0,12.0
1196,41451,4.0,0.0,0.0,20.0,20.0,13.0,22.0,6.0,0.0,16.0,15.0,19.0,11.0,16.0
1197,41474,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0
1198,41493,4.0,0.0,0.0,8.0,6.0,1.0,9.0,2.0,0.0,7.0,6.0,0.0,0.0,0.0
